atom,category,obs_rank1_ratio_mean,obs_rank1_ratio_std,uni_baseline_rank1_ratio_mean,uni_baseline_rank1_ratio_std,delta_ratio,z_score_uniform,n_seeds_obs_appeared,n_seeds_baseline_appeared,static_z_uniform
SOC.criticize,SOC,0.0,0.0,2.3566700830800004e-06,5.304031415513475e-06,-2.3566700830800004e-06,-0.444316765580819,0,4,-8.935061749146183
EMO.forgiveness,EMO,0.0,0.0,2.5829233449341273e-06,5.785790997791675e-06,-2.5829233449341273e-06,-0.4464252763226289,0,4,-7.971280907408209
ABS.release,ABS,1.4507977776879782e-05,4.923832065619246e-05,2.281725915985216e-05,1.7246671598422803e-05,-8.309281382972378e-06,-0.4817904333339458,2,21,-3.8092931202024896
ACT.stop,ACT,0.0,0.0,3.3895054070806703e-06,6.803804223782314e-06,-3.3895054070806703e-06,-0.4981779744973915,0,5,-3.24368543855326
STA.war,STA,0.0,0.0,2.7604654241526015e-06,5.395220166977852e-06,-2.7604654241526015e-06,-0.5116501901161309,0,5,-11.018973750863363
EXS.vitality,EXS,0.0,0.0,3.651938102448732e-06,6.721342816603897e-06,-3.651938102448732e-06,-0.5433345987690525,0,6,-4.402080625340807
COM.answer,COM,0.0,0.0,3.476307599512668e-06,6.071740968475921e-06,-3.476307599512668e-06,-0.5725388513049928,0,6,-3.4547289152304845
FND.history,FND,0.0,0.0,3.7828084311159607e-06,5.920749656882246e-06,-3.7828084311159607e-06,-0.638907005081501,0,7,-7.431981376744999
REL.same,REL,0.0,0.0,4.763051714627707e-06,7.027661842574351e-06,-4.763051714627707e-06,-0.6777576698088422,0,8,-5.978265629887606
BEI.parent,BEI,0.0,0.0,5.597128227157655e-06,7.895019931193404e-06,-5.597128227157655e-06,-0.7089441541551116,0,9,-6.790009783001555
ABS.other,ABS,0.0,0.0,6.758470979502292e-06,8.00083705670021e-06,-6.758470979502292e-06,-0.8447204875697958,0,11,-6.47625822367191
COM.cooperate,COM,0.0,0.0,9.610753403938284e-06,1.0617436530866778e-05,-9.610753403938284e-06,-0.9051858587520738,0,13,-5.682252413593382
EXS.void,EXS,7.244418616584972e-05,0.0002629329731411533,0.00011425568238466399,4.5081431764904595e-05,-4.181149621881427e-05,-0.9274660227487288,2,24,-14.46518793446614
ABS.responsibility,ABS,0.0,0.0,2.2009835026916193e-05,2.2902423035741303e-05,-2.2009835026916193e-05,-0.9610264814586585,0,18,-7.335043990647288
ELM.moon,ELM,0.0,0.0,1.7277597125024012e-05,1.7804569230341846e-05,-1.7277597125024012e-05,-0.9704024231925932,0,16,-2.3144559005097944
VAL.correct,VAL,0.0,0.0,1.2406032344183045e-05,1.1791616741991034e-05,-1.2406032344183045e-05,-1.0521061374055705,0,16,-7.738130053172142
EXS.life,EXS,0.0,0.0,1.4936801981359118e-05,1.4098229136700697e-05,-1.4936801981359118e-05,-1.059480721764937,0,16,-9.340545757848908
LOG.reason,LOG,2.7422959812690873e-05,9.540264224589124e-05,4.682070010054276e-05,1.8256666423173166e-05,-1.9397740287851887e-05,-1.0625017644639856,2,24,-6.376703944125279
VAL.truth,VAL,0.0,0.0,2.435808634477467e-05,2.2855255987404435e-05,-2.435808634477467e-05,-1.0657542561850302,0,19,-15.742691515715569
EXS.presence,EXS,0.0,0.0,1.722357011462559e-05,1.6045267206185217e-05,-1.722357011462559e-05,-1.073436166147869,0,18,-8.943770215883646
VAL.profane,VAL,0.0,0.0,2.1024792264247934e-05,1.712465476408244e-05,-2.1024792264247934e-05,-1.2277498468667358,0,18,-10.35098849389603
COM.secret,COM,0.0,0.0,1.3408031251827121e-05,9.413965110008054e-06,-1.3408031251827121e-05,-1.424270336159728,0,18,-6.252204048099506
SOC.family,SOC,0.0,0.0,2.9367491684112033e-05,2.0553074596262396e-05,-2.9367491684112033e-05,-1.4288612414929176,0,21,-6.022299185750356
FND.ahistorical,FND,0.0,0.0,4.110747023061614e-05,2.8375342821337858e-05,-4.110747023061614e-05,-1.4487039148546923,0,21,-3.4251796543844724
TIM.now,TIM,0.0,0.0,1.876322059420282e-05,1.2806088406690528e-05,-1.876322059420282e-05,-1.4651796862810968,0,19,-12.100670053129775
FND.language,FND,0.0,0.0,1.7774949848435257e-05,1.1982960074213694e-05,-1.7774949848435257e-05,-1.4833521716128746,0,19,-12.737445289320876
STA.danger,STA,0.0,0.0,1.8256180249436375e-05,1.2147282293902425e-05,-1.8256180249436375e-05,-1.5029024441623815,0,20,-11.667019632130494
PRP.slow,PRP,0.0,0.0,4.4501063352126286e-05,2.880438934584697e-05,-4.4501063352126286e-05,-1.5449403498131256,0,24,-2.5545034705737617
TIM.indefinite,TIM,0.0,0.0,3.179429951750572e-05,1.948201306979192e-05,-3.179429951750572e-05,-1.6319822496580074,0,22,-7.102798288608369
BEI.human,BEI,0.0,0.0,3.2611768658753926e-05,1.9541518756231153e-05,-3.2611768658753926e-05,-1.6688451427735165,0,22,-3.9711471421345994
WLD.outer_realm,WLD,0.0,0.0,5.864918195475856e-05,3.4018082003006814e-05,-5.864918195475856e-05,-1.7240590445273967,0,24,-6.511012394502429
SPC.inside,SPC,0.0,0.0,3.445777732661581e-05,1.9019071900964077e-05,-3.445777732661581e-05,-1.8117486229635182,0,23,-9.15637572779882
COG.know,COG,0.0,0.0,6.622650663343311e-05,3.120331425217512e-05,-6.622650663343311e-05,-2.122418987233595,0,24,-4.150893214621329
PRP.easy,PRP,3.825884627057763e-05,5.572553676508223e-05,0.0001580295555298751,5.6196524521802344e-05,-0.00011977070925929748,-2.131283211523704,10,24,0.4723751543524243
COM.conflict,COM,0.0,0.0,5.2138487207535784e-05,2.4104675335482193e-05,-5.2138487207535784e-05,-2.163003088898181,0,24,-11.825642940242004
COM.question,COM,0.0,0.0,8.251949678155815e-05,2.9354445165580126e-05,-8.251949678155815e-05,-2.811141423933888,0,24,-5.046444542357077
FND.number,FND,0.0,0.0,9.997198346070012e-05,3.302530464471156e-05,-9.997198346070012e-05,-3.0271328163723368,0,24,-3.393868224780699
CHG.grow,CHG,0.0,0.0,0.00012568297074144213,3.755037638652914e-05,-0.00012568297074144213,-3.3470495594427585,0,24,-1.6491942269847653
ACT.create,ACT,0.0013474579252572376,0.00034970755382779037,0.0018767837114176359,0.00015066011868698488,-0.0005293257861603983,-3.5133769359370968,24,24,-4.984782718389748
ELM.night,ELM,2.6883196359804762e-05,0.00010406372200946893,0.00029866503528371246,7.083499282278237e-05,-0.0002717818389239077,-3.8368301893368106,3,24,-6.085017225425974
SPC.nowhere,SPC,6.555138339708326e-05,0.00025287548072104333,0.00035304962643426934,6.828208201740661e-05,-0.0002874982430371861,-4.210449279562044,4,24,-9.146885161138227
SOC.homeless,SOC,0.0,0.0,0.00026627642645294373,6.176635934015928e-05,-0.00026627642645294373,-4.3110267352250435,0,24,-5.951000670727476
LOG.effect,LOG,0.019435233139481867,0.006782889252872905,0.0225293093456858,0.0006033032907407621,-0.0030940762062039336,-5.128558477453176,24,24,-7.168599547616042
ACT.receive,ACT,0.0,0.0,0.000383537050852857,7.404059778260405e-05,-0.000383537050852857,-5.180091224803288,0,24,-6.996206749321296
EMO.compassion,EMO,0.0,0.0,0.0004974841898685727,9.512805942057736e-05,-0.0004974841898685727,-5.229626178634742,0,24,-10.31699722010547
COM.announce,COM,0.0,0.0,0.0009394956732346268,0.0001047551852304879,-0.0009394956732346268,-8.968488492168657,0,24,-7.72132510042927
FND.play,FND,0.0,0.0,0.0009341856235211728,0.00010367751482463548,-0.0009341856235211728,-9.010493983206423,0,24,-3.682876164955029
COG.enlightenment,COG,0.0,0.0,0.001071587297167655,0.00011027382579625563,-0.001071587297167655,-9.717512650259758,0,24,-0.997451059766277
CHG.retreat,CHG,0.0,0.0,0.0011358742084735648,0.00011615916526350833,-0.0011358742084735648,-9.77860167897059,0,24,-8.810708476563258
VAL.falsehood,VAL,0.0,0.0,0.0008961726818816164,8.632179465800031e-05,-0.0008961726818816164,-10.38176610474999,0,24,-11.614637552072832
ELM.sun,ELM,0.00024328055737455638,0.0011358161461853822,0.0018781966849065253,0.0001515761813217765,-0.0016349161275319689,-10.786101835230001,2,24,-9.8354050951308
ELM.morning,ELM,0.0,0.0,0.0014862594184058247,0.0001374963204457188,-0.0014862594184058247,-10.809448671701544,0,24,-4.497928909892636
FND.languageless,FND,0.0,0.0,0.0015290568458545106,0.00013948883745136518,-0.0015290568458545106,-10.961858122788058,0,24,-9.71791217666611
WLD.religion,WLD,0.0,0.0,0.0020615217030004952,0.0001749036555356801,-0.0020615217030004952,-11.786613016672758,0,24,-8.973096744477148
PRP.impossible,PRP,0.0,0.0,0.0018580979851959627,0.0001563644654009443,-0.0018580979851959627,-11.883121784936833,0,24,-3.452310297021147
PRP.whole,PRP,0.0,0.0,0.0020641650179527913,0.00014863066478766913,-0.0020641650179527913,-13.887881218196913,0,24,-8.910573812215878
FND.logic,FND,0.0,0.0,0.002626378436397282,0.00017855687353506434,-0.002626378436397282,-14.70891814131996,0,24,-1.0264624207301667
WLD.art,WLD,0.00026572405214639533,0.00012615707129786944,0.0029158847516462146,0.00017775556447865973,-0.002650160699499819,-14.909016813467922,24,24,-1.0868793697577892
TIM.period,TIM,0.0003628659814975002,0.0017402441128035215,0.004045987489389654,0.00024221832550703915,-0.003683121507892154,-15.205792130641735,1,24,-1.6261220168804402
ELM.sky,ELM,0.0,0.0,0.0028414232005729463,0.00016434705853081872,-0.0028414232005729463,-17.289163712291913,0,24,-6.975914294001724
CHG.advance,CHG,0.002520389719090545,0.0019820272657431097,0.0102340800394077,0.0004276894993899356,-0.007713690320317155,-18.035725289772394,23,24,-6.074746683762321
WLD.realm,WLD,0.0044663602913446385,0.0039034594902636597,0.012334048500589561,0.00043284146998146124,-0.007867688209244923,-18.176835527293395,24,24,-4.243249386057269
STA.peace,STA,3.95607132457702e-05,0.00014521797797667198,0.0019103489719187385,9.84777082729938e-05,-0.0018707882586729682,-18.99707346445233,2,24,-9.04040298895329
PRP.difficult,PRP,0.0,0.0,0.0049203340771577,0.00023671482565210133,-0.0049203340771577,-20.78591428991901,0,24,-7.364462299043902
WLD.nonscience,WLD,0.0,0.0,0.004574147022292127,0.00021674117232336766,-0.004574147022292127,-21.104190649424535,0,24,-11.16047648871309
SPC.direction,SPC,0.0,0.0,0.004157598306002767,0.00019481191477841903,-0.004157598306002767,-21.341601773852794,0,24,-6.463165179730989
COM.practice,COM,0.0,0.0,0.0069788480491521435,0.00032015635822743664,-0.0069788480491521435,-21.79824910487776,0,24,-5.799048135125054
LOG.cause,LOG,0.001984159347378865,0.0015059108627400858,0.012858818241406418,0.0003941824310513324,-0.010874658894027554,-27.58788326771317,24,24,-7.91707570996273
PRP.new,PRP,5.6572621538396784e-06,1.9291795530727264e-05,0.017845060312798016,0.0005812905184767582,-0.017839403050644177,-30.68930678138603,2,24,-2.785079436016382
ACT.make,ACT,0.0014556606271196218,0.00034668800104305046,0.013450651003026335,0.0003761145294898594,-0.011994990375906714,-31.89185589872331,24,24,-3.4650259538778565
WLD.science,WLD,0.00015829130651156124,0.0004014436600258359,0.025056967357842488,0.0005125770126680058,-0.024898676051330927,-48.57548316833651,6,24,-7.461597561333266
TIM.past,TIM,0.0,0.0,0.047338036985964144,0.0008309655851625563,-0.047338036985964144,-56.96750603300101,0,24,-12.114388147605842
COM.conduct,COM,0.029816312187664066,0.010450149782936981,0.09022879079157442,0.0009616454021406092,-0.06041247860391036,-62.82199079768179,24,24,-13.612111400549605
TIM.moment,TIM,0.060991186618227326,0.025065049052611338,0.5914251368764077,0.0014376528974728035,-0.5304339502581804,-368.9582869346353,24,24,-10.07138547914426
